# u, t(=u+rB), psi0t_rB  — ZccmJl unringed quiescent-BC pulse run
# rwt=40 rB=41 Z=1e-3 n=65 du=7.8125e-4 paper-pulse(yc=0,ymin=-0.8,ymax=0.8,tauy=0.15)
-40.0,1.0,-5.510718323308122e-13
-39.97499999999991,1.025000000000091,-5.6038130990284e-13
-39.94999999999982,1.050000000000182,-5.668476737825432e-13
-39.92499999999973,1.0750000000002728,-5.704113816587065e-13
-39.899999999999636,1.1000000000003638,-5.710585422500566e-13
-39.874999999999545,1.1250000000004547,-5.688184719385631e-13
-39.849999999999454,1.1500000000005457,-5.637609915965913e-13
-39.82499999999936,1.1750000000006366,-5.559930125080933e-13
-39.79999999999927,1.2000000000007276,-5.456553080074573e-13
-39.77499999999918,1.2250000000008185,-5.329184215700585e-13
-39.74999999999909,1.2500000000009095,-5.179791761389204e-13
-39.724999999999,1.2750000000010004,-5.010561949073896e-13
-39.69999999999891,1.3000000000010914,-4.82386281014991e-13
-39.67499999999882,1.3250000000011823,-4.622201058930279e-13
-39.64999999999873,1.3500000000012733,-4.4081841659225563e-13
-39.624999999998636,1.3750000000013642,-4.184480031425309e-13
-39.599999999998545,1.4000000000014552,-3.953782201463657e-13
-39.574999999998454,1.4250000000015461,-3.7187741865353693e-13
-39.54999999999836,1.450000000001637,-3.4820955942173973e-13
-39.52499999999827,1.475000000001728,-3.2463134009387363e-13
-39.49999999999818,1.500000000001819,-3.0138931984553246e-13
-39.47499999999809,1.52500000000191,-2.7871749696660244e-13
-39.449999999998,1.5500000000020009,-2.5683511097008185e-13
-39.42499999999791,1.5750000000020918,-2.359447108073815e-13
-39.39999999999782,1.6000000000021828,-2.1623068516866997e-13
-39.374999999997726,1.6250000000022737,-1.9785775722679226e-13
-39.349999999997635,1.6500000000023647,-1.8097020399932226e-13
-39.324999999997544,1.6750000000024556,-1.6569103228916686e-13
-39.29999999999745,1.7000000000025466,-1.5212152505616312e-13
-39.27499999999736,1.7250000000026375,-1.4034114929204348e-13
-39.24999999999727,1.7500000000027285,-1.3040761820813398e-13
-39.22499999999718,1.7750000000028194,-1.2235718755669962e-13
-39.19999999999709,1.8000000000029104,-1.1620512336398168e-13
-39.174999999997,1.8250000000030013,-1.1194647414679913e-13
-39.14999999999691,1.8500000000030923,-1.0955694162508931e-13
-39.12499999999682,1.8750000000031832,-1.0899406092185488e-13
-39.099999999996726,1.9000000000032742,-1.1019824777735233e-13
-39.074999999996635,1.9250000000033651,-1.1309399467604128e-13
-39.049999999996544,1.950000000003456,-1.1759171468730617e-13
-39.02499999999645,1.975000000003547,-1.2358868336004657e-13
-38.99999999999636,2.000000000003638,-1.3097086624797264e-13
-38.97499999999627,2.025000000003729,-1.396144857890752e-13
-38.94999999999618,2.05000000000382,-1.4938749883692244e-13
-38.92499999999609,2.075000000003911,-1.601512638217589e-13
-38.899999999996,2.1000000000040018,-1.7176217483919037e-13
-38.87499999999591,2.1250000000040927,-1.8407308157615307e-13
-38.849999999995816,2.1500000000041837,-1.9693484056488596e-13
-38.824999999995725,2.1750000000042746,-2.1019792669312597e-13
-38.799999999995634,2.2000000000043656,-2.2371365785914635e-13
-38.77499999999554,2.2250000000044565,-2.3733556673396616e-13
-38.74999999999545,2.2500000000045475,-2.5092071235176616e-13
-38.72499999999536,2.2750000000046384,-2.643308364848986e-13
-38.69999999999527,2.3000000000047294,-2.7743321462146356e-13
-38.67499999999518,2.3250000000048203,-2.901019668580382e-13
-38.64999999999509,2.3500000000049113,-3.02218705892027e-13
-38.624999999995,2.375000000005002,-3.136733170634044e-13
-38.59999999999491,2.400000000005093,-3.2436473362952326e-13
-38.574999999994816,2.425000000005184,-3.3420126880883923e-13
-38.549999999994725,2.450000000005275,-3.431012447882748e-13
-38.524999999994634,2.475000000005366,-3.5099342345279063e-13
-38.49999999999454,2.500000000005457,-3.5781682055450295e-13
-38.47499999999445,2.525000000005548,-3.635214222909505e-13
-38.44999999999436,2.550000000005639,-3.680677452497432e-13
-38.42499999999427,2.57500000000573,-3.7142707746647476e-13
-38.39999999999418,2.6000000000058208,-3.7358122025141966e-13
-38.37499999999409,2.6250000000059117,-3.745222934955005e-13
-38.349999999994,2.6500000000060027,-3.742526388568312e-13
-38.324999999993906,2.6750000000060936,-3.727840812015422e-13
-38.299999999993815,2.7000000000061846,-3.7013786522259077e-13
-38.274999999993724,2.7250000000062755,-3.663441014791556e-13
-38.24999999999363,2.7500000000063665,-3.6144103606057797e-13
-38.22499999999354,2.7750000000064574,-3.554747760808377e-13
-38.19999999999345,2.8000000000065484,-3.4849854073507616e-13
-38.17499999999336,2.8250000000066393,-3.405720083249213e-13
-38.14999999999327,2.8500000000067303,-3.3176069967909117e-13
-38.12499999999318,2.875000000006821,-3.221352490824362e-13
-38.09999999999309,2.900000000006912,-3.1177082571170346e-13
-38.074999999993,2.925000000007003,-3.0074636934512144e-13
-38.049999999992906,2.950000000007094,-2.891437921147714e-13
-38.024999999992815,2.975000000007185,-2.7704745816839654e-13
-37.999999999992724,3.000000000007276,-2.6454329316089037e-13
-37.97499999999263,3.025000000007367,-2.5171841707565266e-13
-37.94999999999254,3.050000000007458,-2.3866012071783434e-13
-37.92499999999245,3.075000000007549,-2.2545556394350524e-13
-37.89999999999236,3.1000000000076398,-2.121908762161775e-13
-37.87499999999227,3.1250000000077307,-1.9895085795433541e-13
-37.84999999999218,3.1500000000078217,-1.8581823458805573e-13
-37.82499999999209,3.1750000000079126,-1.7287311616230433e-13
-37.799999999991996,3.2000000000080036,-1.6019270567686185e-13
-37.774999999991905,3.2250000000080945,-1.4785068617790922e-13
-37.749999999991815,3.2500000000081855,-1.3591696398361285e-13
-37.724999999991724,3.2750000000082764,-1.2445712510746092e-13
-37.69999999999163,3.3000000000083674,-1.1353234472800827e-13
-37.67499999999154,3.3250000000084583,-1.0319883585105599e-13
-37.64999999999145,3.3500000000085493,-9.35078638855652e-14
-37.62499999999136,3.37500000000864,-8.45053286392195e-14
-37.59999999999127,3.400000000008731,-7.623182542858607e-14
-37.57499999999118,3.425000000008822,-6.872243141976463e-14
-37.54999999999109,3.450000000008913,-6.200653986904221e-14
-37.524999999990996,3.475000000009004,-5.610799246494486e-14
-37.499999999990905,3.500000000009095,-5.1044940309893944e-14
-37.474999999990814,3.525000000009186,-4.6830047014492535e-14
-37.44999999999072,3.550000000009277,-4.3470264680021425e-14
-37.42499999999063,3.575000000009368,-4.096733741811791e-14
-37.39999999999054,3.6000000000094587,-3.931763221842123e-14
-37.37499999999045,3.6250000000095497,-3.8512358413553876e-14
-37.34999999999036,3.6500000000096406,-3.853793890811511e-14
-37.32499999999027,3.6750000000097316,-3.937592668874758e-14
-37.29999999999018,3.7000000000098225,-4.100338924947155e-14
-37.27499999999009,3.7250000000099135,-4.339330061805132e-14
-37.249999999989996,3.7500000000100044,-4.651454994044255e-14
-37.224999999989905,3.7750000000100954,-5.03323769103722e-14
-37.199999999989814,3.8000000000101863,-5.480873136157959e-14
-37.17499999998972,3.8250000000102773,-5.990251536229925e-14
-37.14999999998963,3.8500000000103682,-6.556979480707802e-14
-37.12499999998954,3.875000000010459,-7.17642694841602e-14
-37.09999999998945,3.90000000001055,-7.843752518069815e-14
-37.07499999998936,3.925000000010641,-8.553946586150966e-14
-37.04999999998927,3.950000000010732,-9.301854328910948e-14
-37.02499999998918,3.975000000010823,-1.0082206708359213e-13
-36.999999999989086,4.000000000010914,-1.0889662260925212e-13
-36.974999999988995,4.025000000011005,-1.171884016625707e-13
-36.949999999988904,4.050000000011096,-1.2564337963012648e-13
-36.92499999998881,4.075000000011187,-1.342077388000985e-13
-36.89999999998872,4.100000000011278,-1.4282804983392993e-13
-36.87499999998863,4.125000000011369,-1.5145173218211498e-13
-36.84999999998854,4.15000000001146,-1.6002714285399923e-13
-36.82499999998845,4.175000000011551,-1.6850398439314142e-13
-36.79999999998836,4.2000000000116415,-1.7683336730384362e-13
-36.77499999998827,4.2250000000117325,-1.849682532620987e-13
-36.74999999998818,4.250000000011823,-1.928635091117989e-13
-36.724999999988086,4.275000000011914,-2.004761427278929e-13
-36.699999999987995,4.300000000012005,-2.0776549181104894e-13
-36.674999999987904,4.325000000012096,-2.146933692983278e-13
-36.64999999998781,4.350000000012187,-2.2122424289911607e-13
-36.62499999998772,4.375000000012278,-2.273252283983788e-13
-36.59999999998763,4.400000000012369,-2.329663891049316e-13
-36.57499999998754,4.42500000001246,-2.3812072006070975e-13
-36.54999999998745,4.450000000012551,-2.4276418532756144e-13
-36.52499999998736,4.475000000012642,-2.4687589845809885e-13
-36.49999999998727,4.500000000012733,-2.504380653753609e-13
-36.474999999987176,4.525000000012824,-2.534359724012252e-13
-36.449999999987085,4.550000000012915,-2.55857957010091e-13
-36.424999999986994,4.575000000013006,-2.57695584588417e-13
-36.3999999999869,4.600000000013097,-2.589434965575467e-13
-36.37499999998681,4.625000000013188,-2.595993276852136e-13
-36.34999999998672,4.650000000013279,-2.5966373210758577e-13
-36.32499999998663,4.67500000001337,-2.591402844367568e-13
-36.29999999998654,4.7000000000134605,-2.5803540342227813e-13
-36.27499999998645,4.7250000000135515,-2.563581755360755e-13
-36.24999999998636,4.750000000013642,-2.5412035939492124e-13
-36.22499999998627,4.775000000013733,-2.513362892881112e-13
-36.199999999986176,4.800000000013824,-2.4802259561477496e-13
-36.174999999986085,4.825000000013915,-2.441982404368364e-13
-36.149999999985994,4.850000000014006,-2.398843352131903e-13
