# 1:time	2:2-2	3:2-1	4:20	5:21	6:22	7:3-3	8:3-2	9:3-1	10:30	11:31	12:32	13:33	14:4-4	15:4-3	16:4-2	17:4-1	18:40	19:41	20:42	21:43	22:44	23:5-5	24:5-4	25:5-3	26:5-2	27:5-1	28:50	29:51	30:52	31:53	32:54	33:55	34:6-6	35:6-5	36:6-4	37:6-3	38:6-2	39:6-1	40:60	41:61	42:62	43:63	44:64	45:65	46:66	47:7-7	48:7-6	49:7-5	50:7-4	51:7-3	52:7-2	53:7-1	54:70	55:71	56:72	57:73	58:74	59:75	60:76	61:77	62:8-8	63:8-7	64:8-6	65:8-5	66:8-4	67:8-3	68:8-2	69:8-1	70:80	71:81	72:82	73:83	74:84	75:85	76:86	77:87	78:88	
0	-2.02991923325983e-28	2.50920490992942e-29	-4.20298489376837e-27	-2.50920490993148e-29	-2.02991923325978e-28	3.99242146126226e-29	-4.32033021087236e-28	-6.46742575613969e-29	4.48415508583941e-42	-6.46742575613788e-29	4.32033021087234e-28	3.99242146126423e-29	-1.85590126787656e-27	1.23096026201134e-29	-2.48088511042573e-28	-1.63973928744942e-28	2.34561981413997e-27	1.6397392874495e-28	-2.48088511042582e-28	-1.23096026201466e-29	-1.85590126787656e-27	8.26238887947134e-29	-1.70449766995562e-27	-1.53745158808279e-28	2.6475464665515e-28	7.78334534927266e-29	-1.06722891042978e-41	7.78334534927082e-29	-2.64754646655144e-28	-1.53745158808267e-28	1.70449766995562e-27	8.26238887947294e-29	-7.94691965433915e-29	-4.74956009786757e-29	-2.78067188014635e-28	-1.21989143032449e-28	2.77317778776123e-28	2.47312612340136e-28	-1.22918297023803e-27	-2.47312612340144e-28	2.77317778776124e-28	1.21989143032471e-28	-2.78067188014633e-28	4.74956009786618e-29	-7.94691965433848e-29	5.94210559880802e-29	-7.42488100436357e-29	-2.36692398774698e-28	6.67467162793364e-28	1.91178016479984e-28	-1.65772659024075e-28	-8.93293503593711e-29	9.59609188369635e-42	-8.93293503593524e-29	1.65772659024075e-28	1.91178016479961e-28	-6.67467162793362e-28	-2.36692398774696e-28	7.42488100436405e-29	5.9421055988104e-29	6.71907567779262e-29	-4.84834074359355e-29	3.2951717846581e-30	-8.51611118241732e-29	-1.09560582837483e-29	2.10586664890203e-28	-1.85565488991368e-28	-3.18495191760966e-28	2.54208961247805e-28	3.18495191760968e-28	-1.8556548899137e-28	-2.10586664890224e-28	-1.09560582837446e-29	8.5161111824178e-29	3.29517178464588e-30	4.84834074359114e-29	6.71907567779202e-29	
0.25	-8.18554191901164e-28	2.99549626475601e-30	-1.70066097166667e-26	-2.99549626485628e-30	-8.18554191901155e-28	6.1312201290784e-29	-1.67269361130935e-27	-1.24447431878628e-28	3.26446490249109e-41	-1.24447431878524e-28	1.67269361130934e-27	6.13122012908784e-29	-6.58676439816682e-27	8.57024414906466e-29	-1.03683330931288e-27	-4.94453556166973e-28	8.61869985879304e-27	4.94453556167017e-28	-1.03683330931291e-27	-8.57024414907781e-29	-6.5867643981668e-27	2.93848338095337e-28	-4.50116964007762e-27	-4.30418794419326e-28	1.17425668322316e-27	2.34128341897662e-28	-3.94605647553868e-41	2.34128341897604e-28	-1.17425668322313e-27	-4.30418794419283e-28	4.50116964007764e-27	2.93848338095393e-28	-1.01111876235058e-29	-1.27978703223747e-28	-6.27420383241631e-28	-4.19137599240134e-28	1.28338322884905e-27	8.32950117522257e-28	-3.50654823819392e-27	-8.32950117522269e-28	1.28338322884907e-27	4.191375992402e-28	-6.27420383241647e-28	1.27978703223692e-28	-1.01111876235041e-29	1.5079083112573e-28	-3.19272940098169e-29	-8.35710882678861e-28	9.06702001065202e-28	6.73836393790733e-28	-8.41064908777504e-28	-3.68311030648682e-28	2.51112684807007e-41	-3.68311030648651e-28	8.41064908777484e-28	6.7383639379068e-28	-9.06702001065184e-28	-8.35710882678846e-28	3.19272940098314e-29	1.50790831125763e-28	3.23847883357674e-27	-3.02953118220723e-29	1.63848775993473e-29	-3.55815961812739e-28	-1.75862658341165e-27	7.97209015829009e-28	-9.5483812444315e-28	-1.21859399110023e-27	-5.28788639997227e-28	1.21859399110023e-27	-9.54838124443169e-28	-7.97209015829046e-28	-1.75862658341163e-27	3.55815961812763e-28	1.63848775993294e-29	3.02953118220465e-29	3.23847883357674e-27	
0.5	-6.8040642845173e-27	-2.48316414851179e-28	-1.33787264918881e-25	2.48316414850703e-28	-6.80406428451716e-27	2.1076438111152e-28	-1.36657691109982e-26	-6.41944781281253e-28	3.24294095807906e-40	-6.41944781280798e-28	1.36657691109981e-26	2.10764381112094e-28	-4.93146714380519e-26	8.71492478432033e-28	-8.6963318346236e-27	-3.4564190084971e-27	6.62411886798828e-26	3.4564190084973e-27	-8.69633183462405e-27	-8.71492478432867e-28	-4.93146714380516e-26	2.38810656259358e-27	-3.22003273501373e-26	-3.10851707764938e-27	9.96596724994027e-27	1.80472620821299e-27	-3.12814658788158e-40	1.80472620821288e-27	-9.96596724993984e-27	-3.10851707764918e-27	3.22003273501375e-26	2.38810656259362e-27	8.51991697625259e-28	-9.63655967935942e-28	-4.88316557576756e-27	-3.28629604359507e-27	1.10681497220232e-26	6.55799871100896e-27	-2.85888726891251e-26	-6.55799871100899e-27	1.10681497220235e-26	3.28629604359538e-27	-4.88316557576794e-27	9.63655967935977e-28	8.51991697625287e-28	1.01427632540007e-27	6.07218604909512e-28	-6.72063060922125e-27	2.31578993961098e-27	5.61335685917319e-27	-7.43207765041974e-27	-3.08997542002622e-27	1.95150429335731e-40	-3.08997542002627e-27	7.4320776504192e-27	5.61335685917296e-27	-2.31578993961079e-27	-6.72063060922126e-27	-6.07218604909496e-28	1.01427632540054e-27	3.11756460011098e-26	2.31976568280156e-28	1.3116829992785e-28	-3.07379202441389e-27	-1.63679583883096e-26	6.67933870776099e-27	-8.53595577198561e-27	-1.02690787290459e-26	-5.98271954316598e-27	1.02690787290459e-26	-8.53595577198591e-27	-6.67933870776115e-27	-1.63679583883095e-26	3.073792024414e-27	1.31168299927889e-28	-2.3197656828042e-28	3.117564600111e-26	
0.75	-5.47170963538613e-26	-1.56518948637115e-27	-9.14380943179647e-25	1.56518948636676e-27	-5.471709635386e-26	1.55926483552295e-27	-1.08063286922944e-25	-4.46305727792617e-27	2.1122164116338e-39	-4.46305727792254e-27	1.08063286922942e-25	1.55926483552799e-27	-3.46779034674906e-25	6.45662962927106e-27	-6.8616902690862e-26	-2.5945773522215e-26	4.73142601724005e-25	2.59457735222165e-26	-6.86169026908657e-26	-6.45662962927818e-27	-3.46779034674904e-25	1.88468209396739e-26	-2.42454524839028e-25	-2.43158156774102e-26	7.79746501212742e-26	1.39320457376168e-26	-2.18109303375229e-39	1.39320457376161e-26	-7.79746501212704e-26	-2.43158156774082e-26	2.4245452483903e-25	1.88468209396735e-26	4.59463379871083e-27	-7.17446570881454e-27	-3.83376026797802e-26	-2.53995744092307e-26	8.64570195071081e-26	5.11610375681995e-26	-2.22182856963313e-25	-5.11610375681998e-26	8.6457019507111e-26	2.53995744092329e-26	-3.83376026797829e-26	7.17446570881603e-27	4.59463379871187e-27	7.5462000310617e-27	4.39031162995673e-27	-5.24440641123968e-26	1.65814965503387e-26	4.44967000969796e-26	-5.84896997133637e-26	-2.39475376188454e-26	1.23977919813288e-39	-2.39475376188456e-26	5.84896997133597e-26	4.44967000969776e-26	-1.65814965503375e-26	-5.24440641123969e-26	-4.3903116299572e-27	7.54620003106583e-27	2.19222893753614e-25	2.64306058891183e-27	8.1572046633869e-28	-2.46080397753224e-26	-1.16633916021466e-25	5.2625053963355e-26	-6.70335957426619e-26	-8.09380831573878e-26	-2.46115922770913e-26	8.09380831573875e-26	-6.7033595742664e-26	-5.2625053963356e-26	-1.16633916021465e-25	2.46080397753228e-26	8.15720466339133e-28	-2.6430605889142e-27	2.19222893753616e-25	
1	-4.00696142824907e-25	1.08621230946842e-27	-5.29555286337479e-24	-1.08621230951369e-27	-4.00696142824899e-25	2.08794379113564e-26	-7.848820886422e-25	-4.34455414171244e-26	1.38671599198567e-38	-4.34455414170882e-26	7.84882088642189e-25	2.08794379114026e-26	-2.20970463241972e-24	4.01075919943683e-26	-4.90890892061063e-25	-1.99777918015325e-25	2.95595670211788e-24	1.9977791801534e-25	-4.90890892061091e-25	-4.01075919944308e-26	-2.20970463241971e-24	1.38041292583562e-25	-1.6858860447389e-24	-2.06845189484675e-25	5.5120798416274e-25	1.08755967194125e-25	-1.21222854928548e-38	1.08755967194116e-25	-5.51207984162714e-25	-2.06845189484658e-25	1.68588604473891e-24	1.38041292583561e-25	-3.01160934444571e-26	-5.88119890542203e-26	-2.28201722909012e-25	-1.8805441469984e-25	6.03075141287679e-25	3.76451098935395e-25	-1.52568018636479e-24	-3.76451098935398e-25	6.03075141287699e-25	1.88054414699861e-25	-2.2820172290903e-25	5.88119890542314e-26	-3.0116093444453e-26	6.33797451825962e-26	-9.76858290501918e-27	-3.80684901687967e-25	1.72577234285437e-25	3.26728443036791e-25	-4.10167204919266e-25	-1.73407530505846e-25	5.96930725026943e-39	-1.73407530505845e-25	4.10167204919238e-25	3.26728443036776e-25	-1.72577234285429e-25	-3.80684901687966e-25	9.76858290501422e-27	6.33797451826191e-26	1.1556573063124e-24	1.79905524104246e-27	1.83610579026345e-26	-1.7103911604573e-25	-7.44063653533009e-25	3.86541941727631e-25	-4.5871954478065e-25	-5.73524539819319e-25	1.04920440005643e-26	5.73524539819318e-25	-4.58719544780664e-25	-3.86541941727639e-25	-7.44063653533009e-25	1.71039116045728e-25	1.83610579026405e-26	-1.79905524105284e-27	1.15565730631242e-24	
1.25	-2.39138841486354e-24	6.36125325522214e-26	-2.47253764722935e-23	-6.36125325525293e-26	-2.3913884148635e-24	1.7234059717793e-25	-4.73669884264312e-24	-3.50897513022662e-25	7.82438427266085e-38	-3.50897513022408e-25	4.73669884264306e-24	1.72340597178236e-25	-1.13585862637407e-23	1.97990308606499e-25	-2.99390601330294e-24	-1.35155298386533e-24	1.57973621270371e-23	1.35155298386544e-24	-2.99390601330308e-24	-1.97990308606924e-25	-1.13585862637406e-23	8.69245474946716e-25	-9.80450039966418e-24	-1.49323715384717e-24	3.36309741676248e-24	7.69755162724108e-25	-7.64071328034487e-38	7.69755162724024e-25	-3.36309741676235e-24	-1.49323715384707e-24	9.80450039966424e-24	8.69245474946715e-25	-1.56322418294789e-25	-4.16821035744731e-25	-1.39455406307221e-24	-1.21763854722642e-24	3.70426853148492e-24	2.40820161659279e-24	-9.5274058060867e-24	-2.40820161659282e-24	3.70426853148503e-24	1.21763854722657e-24	-1.39455406307232e-24	4.1682103574479e-25	-1.56322418294784e-25	3.73125126350973e-25	-7.61081163160087e-26	-2.38822637592718e-24	1.14537996914528e-24	2.06917880307885e-24	-2.4825520383199e-24	-1.0880781523337e-24	3.01220427398211e-38	-1.08807815233368e-24	2.48255203831974e-24	2.06917880307875e-24	-1.14537996914524e-24	-2.38822637592718e-24	7.61081163159745e-26	3.73125126351093e-25	5.96283713747065e-24	-3.79961083039951e-26	1.08991190333755e-25	-9.85832627490219e-25	-3.66192775568058e-24	2.48387581050123e-24	-2.81232509634301e-24	-3.58394803322679e-24	1.33673071098952e-24	3.58394803322679e-24	-2.81232509634309e-24	-2.48387581050127e-24	-3.6619277556806e-24	9.85832627490205e-25	1.08991190333813e-25	3.79961083039622e-26	5.96283713747074e-24	
1.5	-1.11767606387379e-23	2.73640060987644e-25	-6.2022680023261e-23	-2.73640060989412e-25	-1.11767606387377e-23	7.81158713567533e-25	-2.21924060634203e-23	-1.46860524190818e-24	3.29873102199504e-37	-1.46860524190673e-24	2.219240606342e-23	7.81158713569209e-25	-3.44327151887541e-23	9.4603151289378e-25	-1.44359403140552e-23	-6.89069640146737e-24	6.43365540099928e-23	6.89069640146804e-24	-1.44359403140557e-23	-9.46031512896191e-25	-3.44327151887538e-23	4.50551595972346e-24	-4.17939983109851e-23	-7.53307145666585e-24	1.64938070756537e-23	4.14987354987923e-24	-2.83588012135877e-37	4.14987354987872e-24	-1.64938070756531e-23	-7.53307145666527e-24	4.17939983109853e-23	4.50551595972355e-24	2.0999979712559e-24	-1.84039052980818e-24	-9.50430577027419e-24	-6.39567865004449e-24	1.86188013781944e-23	1.23457212977845e-23	-4.69657908928347e-23	-1.23457212977847e-23	1.8618801378195e-23	6.39567865004531e-24	-9.50430577027455e-24	1.84039052980836e-24	2.09999797125583e-24	1.35333787599456e-24	1.88410043572064e-24	-1.2316023604343e-23	5.30739161368499e-24	1.05150694628237e-23	-1.23621905529749e-23	-5.44742941965206e-24	7.64071328034487e-38	-5.44742941965199e-24	1.23621905529742e-23	1.05150694628232e-23	-5.3073916136848e-24	-1.23160236043431e-23	-1.88410043572086e-24	1.35333787599516e-24	3.12277492735784e-23	6.28996409021698e-25	3.36394254294356e-27	-5.05163838595754e-24	-1.03821364692952e-23	1.31992317201294e-23	-1.45745144762276e-23	-1.89075262894352e-23	1.83121135408403e-23	1.89075262894352e-23	-1.45745144762279e-23	-1.31992317201296e-23	-1.03821364692955e-23	5.05163838595753e-24	3.36394254330787e-27	-6.28996409021805e-25	3.12277492735788e-23	
1.75	-4.47836745104586e-23	-1.97055737257613e-24	2.57074300700205e-22	1.97055737256715e-24	-4.47836745104582e-23	2.25266740490788e-24	-8.60270535692318e-23	-2.64106568889272e-24	9.99170198198944e-37	-2.64106568888526e-24	8.60270535692305e-23	2.2526674049162e-24	2.71097968598651e-23	5.40902187232806e-24	-5.69260769544848e-23	-2.64049821618976e-23	1.2859637352466e-22	2.6404982161901e-23	-5.69260769544869e-23	-5.40902187233989e-24	2.71097968598659e-23	1.8027329346333e-23	-1.08150945038258e-22	-2.83122800466108e-23	6.69969359230355e-23	1.8270549256219e-23	-6.23012005935812e-37	1.82705492562162e-23	-6.69969359230334e-23	-2.83122800466081e-23	1.08150945038259e-22	1.80273293463339e-23	2.13807510896906e-23	-5.84686251754079e-24	-5.36179368614184e-23	-2.76255474330234e-23	7.71010681173643e-23	5.15520619555834e-23	-1.69255822803967e-22	-5.15520619555844e-23	7.71010681173662e-23	2.76255474330276e-23	-5.36179368614185e-23	5.84686251754095e-24	2.13807510896901e-23	3.97566278732935e-24	2.18464509156943e-23	-5.26774600174453e-23	2.73749241385292e-23	4.42551980437998e-23	-5.28387723617585e-23	-2.35523006391361e-23	-1.05059807604742e-37	-2.35523006391356e-23	5.28387723617551e-23	4.42551980437976e-23	-2.73749241385286e-23	-5.26774600174455e-23	-2.18464509156955e-23	3.9756627873323e-24	9.76786112388697e-23	9.09207389806434e-24	-8.82843160512068e-25	-2.39345904443714e-23	7.45507831206315e-24	5.89829120319186e-23	-6.29646624793891e-23	-8.46350328027887e-23	1.73334043553895e-22	8.46350328027886e-23	-6.29646624793905e-23	-5.89829120319196e-23	7.45507831206124e-24	2.3934590444372e-23	-8.82843160510268e-25	-9.09207389806484e-24	9.76786112388713e-23	
2	-1.75738126289301e-22	-2.19626568408742e-23	4.32897678300068e-21	2.19626568408346e-23	-1.757381262893e-22	7.90310397163373e-24	-3.20702501618717e-22	1.44882602114968e-25	6.58276836460481e-37	1.44882602147024e-25	3.20702501618712e-22	7.90310397166923e-24	1.03900321879588e-21	2.48470667142565e-23	-2.1143943120318e-22	-8.97649136407779e-23	-5.84473826021882e-22	8.97649136407916e-23	-2.11439431203186e-22	-2.48470667143065e-23	1.03900321879588e-21	6.14972409048166e-23	-5.0111424500327e-23	-1.09083081999512e-22	2.52141277070608e-22	7.27521110539844e-23	1.31655367292096e-36	7.27521110539734e-23	-2.52141277070603e-22	-1.09083081999501e-22	5.01114245003298e-23	6.14972409048219e-23	8.64317711921452e-23	-2.03239913821262e-23	-2.07847649613953e-22	-1.04421267141068e-22	2.89063616509011e-22	1.87070539713934e-22	-5.44123649533692e-22	-1.87070539713938e-22	2.89063616509017e-22	1.04421267141086e-22	-2.07847649613945e-22	2.03239913821251e-23	8.64317711921432e-23	1.53142725501913e-23	1.07439014332216e-22	-1.97315346582908e-22	2.08025609862487e-22	1.68902344366232e-22	-2.06024043934843e-22	-9.38152867965205e-23	-2.44502824971036e-36	-9.38152867965162e-23	2.06024043934831e-22	1.68902344366224e-22	-2.08025609862487e-22	-1.97315346582908e-22	-1.07439014332221e-22	1.53142725502043e-23	-2.42230988557396e-22	4.94599081646507e-23	2.81882605907663e-24	-1.02320360839022e-22	3.18096502181268e-22	2.27008386781247e-22	-2.35873420986175e-22	-3.27848732468429e-22	1.28395178674492e-21	3.27848732468429e-22	-2.35873420986179e-22	-2.27008386781251e-22	3.18096502181256e-22	1.02320360839028e-22	2.81882605908478e-24	-4.94599081646536e-23	-2.42230988557391e-22	
2.25	-6.87806153431002e-22	-7.55640101279104e-23	3.2055170985646e-20	7.55640101277546e-23	-6.87806153430999e-22	6.27386271656615e-23	-1.22019787231781e-21	1.30227823585066e-24	-8.2754802297889e-36	1.3022782359788e-24	1.2201978723178e-21	6.27386271657906e-23	7.41898918440858e-21	7.37681662895851e-23	-8.09912498372607e-22	-3.27539491805231e-22	-7.24956565419857e-21	3.27539491805282e-22	-8.09912498372624e-22	-7.37681662897776e-23	7.41898918440858e-21	2.2503735557037e-22	4.94592798839364e-22	-5.17794538073027e-22	9.28631802594787e-22	2.59791354232616e-22	1.20370621524202e-35	2.59791354232575e-22	-9.28631802594775e-22	-5.17794538072986e-22	-4.94592798839358e-22	2.25037355570395e-22	1.89942390445987e-22	-8.72886836292946e-23	-3.66125813567223e-22	-3.7403685609237e-22	1.05163522607762e-21	6.01692826945351e-22	-2.30104017311456e-21	-6.01692826945368e-22	1.05163522607763e-21	3.74036856092445e-22	-3.66125813567168e-22	8.72886836292839e-23	1.89942390445976e-22	6.58085478858371e-23	2.84907783345107e-22	-6.81188940506272e-22	1.55359291085573e-21	6.05536877046685e-22	-7.25089458820514e-22	-3.24509835866776e-22	-1.76794350363672e-35	-3.24509835866749e-22	7.25089458820471e-22	6.05536877046644e-22	-1.55359291085574e-21	-6.81188940506266e-22	-2.84907783345131e-22	6.58085478858832e-23	-5.25657221205388e-21	1.49484041440698e-22	9.57290265454701e-24	-3.79425155205416e-22	2.52674342440772e-21	7.53093087587029e-22	-7.90639307178612e-22	-1.08947551837642e-21	7.53622591814372e-21	1.08947551837641e-21	-7.90639307178619e-22	-7.53093087587049e-22	2.52674342440767e-21	3.79425155205463e-22	9.57290265458236e-24	-1.49484041440721e-22	-5.25657221205386e-21	
